"","V1","V2","V3","V4","V5","G1","G2","G3","G4","G5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
"262",1,5,5,5,5,5,4,5,3,3,3,2,5,5,5,5,5,4,4,3,6,4,6,6,2
"263",2,4,5,6,5,4,3,3,5,5,5,4,5,3,1,3,4,4,5,5,4,2,4,5,2
"264",5,5,5,6,5,4,5,6,4,3,5,4,4,4,6,6,6,6,5,4,3,6,3,5,4
"265",2,5,5,6,5,6,6,5,1,3,1,1,4,4,6,4,4,1,5,3,5,2,4,6,1
"266",2,5,1,6,4,4,4,6,4,2,4,3,4,5,4,3,5,4,4,4,4,4,5,5,4
"267",4,6,6,4,4,6,4,6,1,4,1,5,5,2,5,4,6,4,2,5,6,3,4,6,2
"268",2,5,5,6,5,5,5,5,1,1,2,2,4,5,4,3,4,4,4,4,4,3,4,5,3
"269",3,5,1,4,4,2,4,4,4,4,4,2,5,4,5,4,4,5,2,1,5,1,6,5,1
"270",2,3,6,4,5,3,3,5,3,4,3,1,6,5,6,1,2,4,4,1,6,5,6,6,4
"271",1,5,5,5,4,5,4,5,4,5,5,5,1,2,4,5,5,2,3,3,4,2,5,6,1
"272",4,3,6,6,6,5,6,5,1,3,1,1,3,5,6,1,6,4,2,1,5,1,5,1,2
"273",3,4,6,6,6,6,4,5,1,2,4,1,5,4,5,5,5,4,4,6,4,4,5,5,2
"274",1,6,1,6,5,4,1,2,5,6,1,1,5,5,6,2,4,6,6,5,6,1,6,6,1
"275",1,5,3,6,5,2,5,5,1,2,2,4,6,5,5,1,2,2,3,3,6,1,5,6,1
"276",1,6,6,4,5,4,5,2,3,6,3,4,4,6,4,2,4,4,2,5,5,1,4,5,2
"277",4,5,2,6,5,3,2,4,3,6,1,5,4,3,2,5,6,2,2,5,4,2,4,5,3
"278",1,6,5,3,6,5,6,6,1,2,4,4,4,6,5,4,4,3,2,1,6,1,5,6,1
"279",4,6,5,6,6,5,5,5,5,4,1,1,6,6,6,4,4,6,4,1,6,2,6,6,2
"280",1,6,5,2,2,4,1,5,6,6,6,6,3,2,1,4,5,5,5,2,5,6,5,6,2
"281",6,6,6,6,6,3,6,2,5,5,2,2,6,6,6,6,6,6,6,6,6,5,5,6,2
"282",1,4,2,5,3,5,5,5,3,4,4,5,3,3,2,2,2,3,4,5,4,2,4,5,2
"283",3,5,4,4,3,5,5,4,2,4,5,2,3,4,4,4,4,4,3,2,6,1,5,5,2
"284",1,6,6,6,6,6,5,4,1,1,1,1,6,6,6,1,1,1,1,1,6,1,6,6,1
"285",2,5,5,5,3,5,5,5,1,4,4,4,3,3,5,4,4,4,4,2,6,1,5,4,1
"286",1,5,3,5,4,5,4,3,1,4,3,2,4,5,5,3,4,2,3,2,5,4,4,5,1
"287",1,6,5,6,6,6,6,6,1,1,1,1,4,6,5,1,1,1,1,1,6,1,6,6,1
"288",1,5,5,6,4,5,5,4,1,1,3,3,3,4,5,2,2,2,2,4,5,1,5,5,1
"289",4,4,5,1,5,5,4,4,2,5,1,4,6,6,5,3,4,4,2,5,3,3,5,6,5
"290",2,3,4,1,2,3,5,3,1,1,6,6,1,2,3,1,1,2,2,2,5,2,3,5,3
"291",2,6,6,4,6,6,5,5,3,2,1,1,3,6,5,1,1,1,1,1,5,1,5,1,6
"292",4,4,4,4,5,5,5,4,2,3,4,2,4,4,5,2,4,5,4,5,4,1,4,5,3
"293",2,6,5,6,3,5,6,5,2,3,3,2,5,5,5,3,5,5,1,4,4,2,4,6,2
"294",5,6,6,5,6,5,6,2,2,4,3,4,5,5,5,3,3,2,4,3,6,4,5,6,4
"295",1,5,6,6,6,6,5,5,1,1,2,4,5,6,5,2,3,2,2,4,5,1,4,5,2
"296",2,5,5,4,6,5,5,5,2,2,5,4,5,4,5,1,1,1,1,3,5,4,4,4,2
"297",4,2,4,6,5,5,5,4,1,2,3,2,3,5,5,3,4,2,1,1,3,4,1,4,2
"298",2,5,5,4,4,2,3,3,4,3,1,6,4,3,6,4,5,4,4,2,6,2,5,6,2
"299",2,6,6,6,6,5,5,5,1,5,5,1,5,5,6,5,5,5,4,2,6,2,6,5,1
"300",1,6,2,6,5,5,5,5,4,2,2,6,1,4,5,4,2,1,2,3,6,5,3,6,5
"301",1,6,6,6,6,6,5,3,3,4,2,1,5,5,6,2,4,4,3,1,6,1,6,6,2
"302",2,5,5,6,4,4,5,4,2,3,2,3,4,4,5,3,3,1,1,2,5,1,4,4,2
"303",1,5,3,4,4,6,4,4,1,1,3,4,3,5,5,3,3,3,1,3,4,4,3,4,3
"304",2,6,5,4,5,5,2,5,3,2,2,4,4,6,4,5,5,4,4,5,2,4,4,5,3
"305",1,5,5,6,5,5,4,4,4,4,1,2,4,6,4,4,5,5,3,5,2,2,6,5,2
"306",3,4,3,5,5,3,2,2,3,2,4,2,3,4,3,2,3,2,3,1,5,3,4,4,4
"307",3,5,5,4,4,5,5,6,1,1,2,1,4,5,5,4,4,2,1,2,5,1,5,5,1
"308",4,5,5,4,5,2,6,6,1,1,6,1,5,5,5,4,5,3,4,5,6,1,6,5,1
"309",4,3,2,5,3,4,2,4,4,5,5,4,4,4,2,5,4,5,5,3,6,1,6,6,3
"310",1,4,6,5,6,5,6,5,1,1,2,2,6,6,4,4,4,2,1,1,5,1,6,5,2
"311",1,5,6,6,3,5,5,4,2,4,1,3,4,5,5,5,5,4,5,5,5,2,5,6,1
"312",3,4,4,5,4,5,5,6,1,2,3,3,2,4,5,4,4,4,2,1,5,3,2,3,4
"313",3,4,5,2,3,5,3,4,1,1,6,5,2,1,3,3,3,2,3,2,5,5,2,2,5
"314",1,6,5,6,5,4,4,5,2,5,3,2,5,5,4,1,1,1,1,1,6,1,4,5,2
"315",3,6,6,6,4,5,2,5,4,3,4,2,3,4,5,4,4,6,5,4,3,6,1,5,4
"316",1,6,3,5,3,2,3,2,3,4,4,2,3,3,4,4,6,6,6,6,6,1,4,6,1
"317",1,2,1,4,2,6,5,5,1,1,6,6,4,1,3,2,5,1,5,5,6,1,5,6,1
"318",3,5,5,6,3,5,2,4,1,5,1,1,3,3,5,5,5,2,2,2,6,1,6,4,1
"319",4,6,5,6,6,5,3,2,3,5,1,2,3,4,5,4,4,5,1,5,6,3,4,4,5
"320",1,5,6,6,6,1,5,6,4,1,6,6,3,2,5,4,1,2,6,6,6,5,2,6,5
"321",3,5,5,6,5,5,4,5,2,3,2,4,4,5,4,4,5,5,5,4,5,2,3,5,4
"322",3,6,5,6,6,5,6,5,1,3,1,2,5,6,6,2,4,3,2,2,5,3,5,4,3
"323",1,6,6,6,6,1,5,6,1,1,1,6,5,5,1,1,3,1,2,1,6,1,5,6,1
"324",1,6,4,6,6,5,6,4,3,4,3,2,5,6,2,5,6,6,6,6,6,6,6,6,1
"325",1,6,6,5,6,6,5,6,2,2,5,4,5,3,3,1,5,5,5,6,6,5,3,6,1
"326",2,6,6,6,6,6,6,5,1,1,1,1,6,5,6,1,1,2,2,1,6,1,6,5,1
"327",1,6,6,6,6,6,5,4,2,3,1,1,6,6,5,1,2,2,1,2,5,1,6,5,3
"328",2,6,5,6,5,5,4,1,3,1,4,1,6,6,5,5,5,5,5,5,4,1,6,5,5
"329",2,5,2,4,2,2,3,2,3,5,5,5,4,2,5,3,4,4,4,4,5,3,5,5,2
"330",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,2,5,3,5,2,5,2,5,6,1
"331",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,2,5,2,5,2,5,6,1
"332",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,3,4,2,5,2,5,6,1
"333",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,5,4,4,2,5,2,5,6,1
"334",2,5,5,5,5,5,6,4,2,4,2,2,4,2,4,1,5,4,4,2,5,2,5,6,1
"335",2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,2,5,6,1
"336",2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,3,5,6,2
"337",2,5,2,6,5,2,2,2,4,5,2,1,4,5,2,2,2,2,2,1,6,5,2,3,4
"338",4,5,6,6,3,6,6,6,1,1,2,4,4,5,6,6,6,6,3,2,6,1,6,6,1
"339",2,6,6,6,5,6,5,6,4,4,4,1,4,6,5,1,1,1,5,1,6,1,6,6,1
"340",5,4,5,6,4,6,5,6,1,3,5,5,5,5,6,6,6,4,6,5,5,6,4,6,1
"341",1,4,4,5,4,2,5,2,4,3,6,5,3,5,5,6,6,6,5,6,3,6,4,5,2
"342",4,4,4,5,5,4,4,4,2,4,4,5,4,5,5,4,4,5,3,2,4,5,5,4,2
"343",1,6,6,6,5,6,5,6,5,4,5,1,5,6,5,1,1,2,5,1,6,4,6,6,2
"344",2,6,6,5,4,4,3,5,1,2,5,2,4,2,5,1,1,1,5,1,5,6,2,5,2
"345",2,5,6,6,5,4,4,4,2,4,3,3,5,5,5,2,3,2,2,1,4,2,5,5,3
"346",6,1,1,4,1,6,6,6,1,1,6,6,1,1,2,1,1,1,1,1,6,5,6,6,4
"347",1,6,6,6,5,6,6,6,1,1,2,3,6,5,6,3,3,3,1,2,6,1,6,5,1
"348",3,6,6,6,5,5,5,5,1,2,1,1,5,5,6,4,4,3,2,1,6,1,5,5,1
"349",5,6,5,6,5,5,5,5,4,3,3,2,5,6,5,2,3,2,5,4,6,1,5,2,1
"350",1,6,5,6,5,6,4,5,1,1,1,1,5,5,6,4,5,4,1,5,5,6,5,5,2
"351",2,5,4,6,5,3,5,5,1,2,4,3,2,5,6,2,2,1,1,2,5,2,4,3,4
"352",1,6,6,6,6,1,6,6,1,1,1,1,6,6,6,1,4,5,1,1,6,1,6,6,1
"353",2,5,6,5,4,6,6,4,1,5,1,2,4,5,5,5,5,5,2,2,6,1,6,6,1
"354",2,2,2,1,3,3,4,2,5,5,5,6,2,1,1,2,3,1,2,5,6,2,6,6,1
"355",5,4,4,4,3,6,6,6,1,6,3,2,4,4,5,6,6,4,4,3,6,3,5,4,3
"356",2,5,4,4,6,4,3,3,2,4,3,2,4,5,3,1,1,2,4,2,3,4,5,5,3
"357",2,5,5,5,5,2,1,2,5,4,5,5,5,4,2,5,5,5,6,4,5,6,4,6,2
"358",1,5,6,6,5,5,5,6,1,3,3,3,5,6,5,1,2,1,2,2,6,2,5,6,2
"359",3,6,5,6,6,5,3,3,2,2,1,3,6,4,6,5,6,4,5,5,6,1,5,6,1
"360",1,5,1,5,5,5,4,3,2,2,2,4,3,5,4,1,3,5,2,4,4,2,4,5,2
"361",1,5,6,5,5,5,4,4,1,4,1,2,3,6,4,1,1,1,1,2,4,1,4,5,2
"362",2,5,5,5,4,6,2,4,2,5,1,2,5,5,5,4,5,5,5,4,6,2,5,6,1
"363",1,5,5,6,6,6,1,5,3,1,6,6,1,5,1,4,5,5,6,1,6,5,1,6,4
"364",3,5,5,6,5,5,5,3,4,1,4,3,4,4,5,5,6,6,2,2,5,2,5,6,3
"365",2,6,6,6,6,5,5,3,1,1,1,4,5,6,4,1,1,1,1,1,5,1,5,3,4
"366",1,6,5,6,6,5,6,5,1,1,3,4,3,6,4,3,4,4,3,5,3,3,4,5,4
"367",2,2,4,3,2,4,3,4,3,4,4,2,1,5,4,4,4,4,5,1,3,2,2,4,4
"368",2,4,4,3,3,4,2,4,4,2,5,3,3,4,4,2,3,3,3,3,4,2,3,3,3
"369",4,2,1,3,1,3,1,2,4,2,3,4,1,3,2,4,5,4,3,3,2,4,2,6,2
"370",6,5,5,6,6,3,1,4,5,2,3,1,6,5,3,1,1,4,3,1,6,6,6,6,3
"371",2,6,6,6,6,6,6,6,1,1,3,6,6,1,6,4,4,1,1,3,6,1,6,2,1
"372",2,5,6,5,4,4,3,4,5,4,1,2,4,6,5,6,6,6,3,2,4,3,2,3,5
"373",1,6,6,6,6,6,6,5,1,4,1,1,6,6,6,4,6,5,2,4,6,5,6,6,1
"374",1,6,2,6,6,5,4,2,1,2,1,1,5,6,5,5,4,4,4,5,6,1,6,5,1
"375",1,6,6,6,6,6,5,5,1,2,2,1,5,5,6,2,4,2,2,4,6,2,6,6,2
"376",1,3,2,6,3,5,5,5,2,4,5,6,1,3,3,3,4,1,4,1,2,6,1,5,3
"377",2,6,6,2,6,6,3,5,1,2,1,1,5,5,6,1,2,2,1,1,5,1,6,4,1
"378",1,5,6,6,6,6,5,5,5,1,6,5,5,5,2,1,1,4,1,5,6,6,6,6,5
"379",2,5,5,6,5,6,5,5,3,3,2,3,4,5,5,1,2,2,2,2,6,5,5,4,1
"380",1,4,4,6,4,3,4,2,2,2,2,4,4,4,4,4,4,5,4,4,3,4,3,5,3
"381",2,6,5,6,4,5,6,5,1,2,1,4,5,5,5,4,4,5,5,6,4,1,6,6,1
"382",1,5,5,6,5,5,5,5,1,3,6,4,2,5,5,2,2,4,2,2,5,2,5,3,1
"383",1,6,6,3,6,3,4,6,5,2,6,1,6,6,6,2,5,2,3,4,4,2,6,3,1
"384",4,5,5,6,5,5,5,5,2,2,4,2,2,6,2,1,2,5,2,4,2,6,3,3,3
"385",2,5,1,6,6,6,6,5,1,1,2,1,6,5,6,2,4,2,2,5,6,1,5,4,1
"386",4,3,5,5,5,4,6,5,2,3,4,1,5,6,6,5,6,5,4,2,6,6,5,5,1
"387",4,4,5,6,5,5,6,6,1,2,3,4,5,6,6,3,3,1,4,1,5,1,5,5,2
"388",2,6,4,2,5,6,3,5,2,1,3,2,4,5,5,3,5,3,1,1,5,2,4,4,2
"389",4,5,4,5,4,5,4,4,5,5,1,4,6,5,6,6,6,6,5,5,5,2,5,5,5
"390",1,5,6,5,6,6,5,5,1,2,2,1,5,1,5,4,5,4,5,4,5,4,4,6,1
"391",3,6,6,6,6,4,5,3,1,1,1,1,5,6,3,1,1,1,2,1,5,3,5,1,1
"392",1,6,6,6,6,5,6,5,1,1,5,2,6,6,6,1,1,1,2,2,5,6,6,6,2
"393",5,6,6,5,6,5,4,6,2,4,3,3,4,4,5,5,4,4,3,2,5,2,5,4,3
"394",2,4,2,6,4,5,5,5,2,2,3,3,5,5,5,3,4,4,2,3,5,2,4,4,2
"395",1,6,5,5,6,6,6,4,1,2,2,4,4,5,5,3,3,4,3,4,5,4,4,5,2
"396",1,6,6,6,6,1,4,4,4,1,5,1,6,6,6,6,4,6,5,5,6,6,6,3,6
"397",2,4,6,5,6,5,4,4,1,2,4,3,6,5,4,2,5,4,3,4,5,1,5,6,1
"398",1,5,6,6,5,5,4,4,1,2,1,4,4,4,5,4,4,4,2,1,2,6,4,5,1
"399",3,5,5,6,5,3,6,3,3,1,4,2,4,5,6,3,3,4,2,4,5,3,5,4,4
"400",6,1,6,6,6,6,5,6,1,1,4,1,6,6,6,1,1,1,1,1,6,4,5,5,5
"401",2,5,4,6,4,5,5,5,1,2,1,1,5,6,6,5,4,6,3,4,5,1,4,6,2
"402",3,2,4,6,6,6,2,5,1,2,3,2,5,6,4,1,1,2,3,1,6,2,6,5,3
"403",2,4,4,6,4,6,5,3,2,2,5,5,2,3,4,3,3,2,4,2,3,5,5,5,2
"404",2,4,6,5,5,2,6,5,3,2,4,2,4,5,6,4,4,4,4,2,5,2,5,5,4
"405",1,6,5,6,4,6,6,5,1,2,1,5,2,5,6,5,6,4,4,3,4,5,5,5,2
"406",1,5,4,6,4,4,6,5,4,1,6,4,5,4,6,4,6,5,4,4,5,1,5,4,1
"407",1,6,6,6,6,6,6,5,1,1,1,1,5,6,6,1,2,1,1,1,6,1,6,5,1
"408",3,5,5,6,5,6,6,5,1,1,3,2,6,6,6,4,4,4,2,1,6,4,5,2,2
"409",4,6,6,6,5,4,3,4,4,3,2,4,4,5,4,4,5,5,3,2,4,5,4,6,2
"410",1,4,4,4,6,4,4,6,3,3,4,2,4,6,2,2,3,2,1,1,6,2,5,4,2
"411",1,6,5,6,5,4,5,6,1,1,1,1,5,5,6,5,5,6,1,5,3,6,5,6,5
"412",6,6,6,6,6,5,6,6,1,1,1,1,6,6,6,6,6,6,1,6,6,6,6,6,1
"413",1,6,4,3,5,5,4,4,3,4,1,2,4,5,3,3,3,4,3,2,5,2,4,6,2
"414",1,6,5,5,6,6,5,5,1,3,1,1,5,6,6,1,2,1,1,1,6,1,6,6,1
"415",2,4,5,6,5,5,5,5,2,4,3,4,4,5,1,2,4,3,5,4,4,5,4,4,3
"416",1,5,5,6,4,5,4,5,4,2,4,4,4,5,3,3,4,4,3,4,5,2,4,6,2
"417",3,4,4,5,5,5,4,3,3,4,2,2,5,6,4,5,5,6,4,4,4,2,4,4,4
"418",1,4,6,5,6,5,2,6,1,1,1,3,5,1,5,6,6,6,6,6,4,1,5,6,1
"419",2,5,5,6,5,1,5,2,1,2,1,5,5,5,3,3,5,1,1,3,3,1,3,4,5
"420",1,5,4,1,5,5,4,5,2,5,6,6,3,1,2,4,4,6,6,5,5,2,5,6,2
"421",1,5,6,6,5,2,5,4,2,1,1,1,4,6,4,3,4,1,1,1,5,6,4,2,3
"422",5,4,3,4,3,3,2,3,4,4,3,3,5,4,3,5,5,4,5,4,5,1,5,6,3
"423",3,5,5,5,5,5,4,3,2,4,2,2,4,4,4,5,6,4,3,4,5,4,4,5,2
"424",3,4,4,6,5,5,4,5,2,1,5,3,4,4,4,2,3,3,2,2,4,4,4,5,3
"425",4,5,4,5,2,5,5,5,3,2,3,2,6,2,6,5,5,5,3,5,6,3,6,6,1
"426",1,6,6,6,5,2,5,6,4,6,6,5,5,5,6,4,5,4,4,6,2,6,4,6,3
"427",1,6,4,6,5,2,5,6,1,2,1,3,4,3,5,2,2,1,6,4,4,1,4,5,2
"428",2,4,4,6,5,5,2,5,1,2,2,2,3,5,4,2,5,2,2,1,4,3,4,4,3
"429",2,4,5,3,5,4,4,5,4,5,5,6,3,4,3,3,4,4,4,3,5,5,4,6,5
"430",2,5,4,4,4,2,2,4,2,5,1,1,5,6,5,3,3,1,1,1,5,1,4,4,1
"431",1,6,5,4,5,6,5,6,1,2,1,1,5,5,5,1,1,2,2,3,5,2,5,6,1
"432",4,3,5,6,5,4,5,5,1,2,3,4,4,6,5,5,6,6,3,4,6,3,4,5,3
"433",1,6,6,6,1,1,4,6,1,1,4,1,3,3,2,1,1,1,1,1,1,1,2,5,1
"434",4,5,4,2,2,5,3,3,3,5,5,6,3,5,3,6,6,5,6,3,6,6,5,6,4
"435",4,5,4,6,4,1,1,2,4,5,1,1,3,4,6,6,4,1,1,1,6,5,1,6,6
"436",1,6,6,6,6,6,6,5,1,2,1,1,6,5,5,1,2,1,1,4,5,4,4,5,4
"437",3,6,6,6,5,2,5,5,2,2,3,4,4,5,4,3,4,4,5,6,2,5,4,5,4
"438",1,5,5,6,5,4,5,4,4,4,2,1,5,6,5,2,2,4,4,3,5,5,4,6,2
"439",2,5,3,2,4,2,2,4,4,4,3,3,6,5,4,5,6,4,5,4,6,6,5,6,1
"440",1,4,5,4,5,3,5,4,2,4,4,3,4,4,4,2,3,1,4,3,4,4,4,5,3
"441",1,6,6,6,5,6,6,6,1,2,3,3,5,6,6,1,3,4,2,3,6,1,6,6,3
"442",2,5,4,6,4,6,5,4,2,1,3,2,3,4,5,2,3,1,1,1,5,5,4,4,2
"443",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"444",3,6,5,6,5,5,6,5,1,4,2,2,4,6,5,4,4,4,3,3,6,1,5,4,4
"445",1,5,6,6,6,6,6,5,1,4,3,2,6,5,6,4,4,5,3,1,6,1,6,5,2
"446",1,1,5,6,3,5,3,1,2,5,4,3,1,5,4,3,3,3,3,2,5,5,2,6,6
"447",1,6,6,6,6,6,6,5,2,3,1,2,6,5,5,2,5,5,5,4,5,3,4,6,2
"448",1,6,4,6,6,4,4,3,5,2,1,1,3,6,4,1,2,2,2,1,5,1,5,5,2
"449",1,5,5,6,6,6,5,6,1,1,3,1,6,6,5,4,4,4,3,1,6,1,5,1,4
"450",5,4,4,5,5,4,3,4,4,3,3,1,2,3,5,5,5,3,1,1,4,6,4,5,6
"451",2,5,2,5,4,5,4,1,5,5,2,5,1,6,5,4,4,2,4,5,2,6,1,6,6
"452",1,5,5,5,5,2,4,4,6,5,4,6,3,5,1,4,5,4,4,4,5,6,2,5,4
"453",1,6,6,6,6,3,4,1,1,4,1,1,6,6,6,1,1,2,1,1,5,6,3,4,3
"454",3,5,6,6,4,3,5,3,1,1,1,1,5,5,6,4,6,6,5,3,6,1,5,6,2
"455",6,6,6,6,6,5,6,5,1,1,5,5,4,2,5,2,3,1,3,5,5,5,4,5,3
"456",1,6,5,5,5,4,4,4,4,2,2,3,3,5,2,1,1,2,2,5,3,2,4,5,4
"457",3,6,1,5,6,6,3,3,2,4,1,1,5,6,6,3,5,2,3,2,6,3,6,6,1
"458",1,6,5,6,5,4,5,5,2,4,2,3,5,5,4,4,5,5,4,3,5,1,5,6,2
"459",1,5,5,5,6,6,6,6,1,1,1,2,5,6,6,1,1,1,1,1,6,6,5,4,2
"460",2,6,6,5,3,6,5,6,1,6,1,5,4,4,6,6,6,6,6,6,2,1,3,6,2
"461",4,5,5,6,6,3,5,6,5,3,6,6,5,6,5,5,3,2,1,5,5,6,4,1,5
"462",1,4,6,6,6,3,4,2,2,5,4,3,4,4,4,2,2,2,3,1,4,3,5,6,6
"463",3,6,6,6,5,6,5,6,1,2,3,1,5,6,5,1,3,2,1,1,5,1,5,6,1
"464",1,5,5,6,4,4,4,4,3,2,1,2,4,5,4,3,3,3,1,2,4,2,4,4,3
"465",2,5,2,1,3,4,2,4,4,5,4,4,2,4,3,3,5,5,4,1,5,2,3,3,2
"466",2,5,4,6,5,4,5,4,3,4,1,3,4,5,5,5,5,4,3,3,4,4,4,4,4
"467",4,5,5,6,5,4,6,6,4,4,1,5,4,4,5,3,5,4,4,4,5,4,5,4,5
"468",2,6,5,6,6,6,6,5,4,2,1,2,5,6,5,3,5,1,4,3,6,4,5,5,3
"469",6,2,5,6,2,6,5,3,5,3,5,2,4,5,6,6,6,6,5,6,5,5,4,4,6
"470",1,5,5,6,5,5,5,5,3,3,2,1,5,6,6,3,3,1,2,1,6,5,2,6,4
"471",1,6,4,4,4,4,4,6,2,2,6,6,5,5,6,2,4,4,1,2,6,4,5,6,2
"472",4,6,6,2,5,5,5,5,2,1,5,2,6,6,6,2,6,6,3,2,6,6,5,4,4
"473",1,5,5,6,5,4,4,4,1,2,4,2,5,6,5,3,3,2,1,2,6,1,5,5,2
"474",1,6,5,6,4,5,5,5,2,2,2,2,3,6,3,5,5,5,1,4,4,6,5,5,2
"475",5,6,2,6,5,4,5,4,2,4,5,2,3,5,4,1,3,1,2,3,6,2,2,1,1
"476",2,6,5,6,5,4,6,5,1,2,4,4,5,5,6,2,2,4,2,1,5,1,3,5,4
"477",3,6,6,6,3,6,4,6,4,2,1,1,5,6,6,2,3,2,1,2,6,6,5,1,6
"478",1,6,6,6,6,5,6,6,2,4,6,4,5,5,5,2,1,1,2,4,6,1,4,6,2
"479",2,5,5,6,6,4,5,5,1,2,1,2,4,6,5,1,1,1,1,2,6,4,4,1,3
"480",3,4,4,6,4,4,4,3,4,4,1,5,4,3,3,5,5,4,3,3,4,5,4,4,4
"481",4,6,5,6,6,5,5,5,2,2,1,1,4,6,6,2,3,2,2,2,5,4,4,5,4
"482",2,6,4,6,5,4,4,2,4,4,2,2,6,6,5,1,2,5,4,2,5,2,6,6,1
"483",3,4,2,4,4,5,1,4,2,1,1,4,3,3,4,6,6,6,2,1,3,6,1,5,1
"484",1,6,6,4,5,4,3,4,4,4,3,6,6,3,6,1,3,1,3,1,5,3,6,4,1
"485",1,5,6,6,5,4,4,4,2,5,3,5,1,2,4,2,4,4,6,4,4,4,3,4,3
"486",1,6,6,6,6,5,6,6,1,1,1,1,6,6,6,1,1,1,1,2,5,2,3,4,1
"487",2,5,5,6,6,2,6,4,1,3,5,4,6,4,5,1,1,1,1,5,6,4,6,4,3
"488",1,6,6,6,6,6,6,5,2,1,5,6,6,5,6,1,2,1,2,1,6,1,6,6,1
"489",2,6,6,6,5,6,5,6,1,1,4,5,4,5,6,3,5,5,4,3,6,1,4,5,1
"490",3,4,4,4,4,4,4,4,2,4,5,3,4,4,4,2,2,3,5,2,5,2,4,5,5
"491",2,5,5,4,3,4,2,5,4,3,3,3,4,4,5,4,5,4,3,5,5,1,4,4,2
"492",1,6,6,4,4,5,4,5,4,5,2,4,4,4,5,4,5,4,2,5,6,1,5,5,2
"493",2,5,6,4,6,6,6,6,1,2,4,3,5,4,6,2,3,3,2,2,6,1,6,6,1
"494",2,6,5,6,3,4,5,5,1,1,3,6,4,3,6,5,6,2,2,4,6,2,4,4,1
"495",4,6,6,5,6,6,6,6,1,1,1,1,6,6,6,4,2,1,1,2,6,4,6,6,2
"496",2,5,4,4,2,4,3,5,4,3,4,4,3,3,3,5,5,6,6,5,4,2,2,5,4
"497",3,5,3,6,1,4,3,3,5,5,3,6,1,2,2,6,6,6,5,6,3,6,1,6,4
"498",3,5,5,6,5,5,5,5,2,2,2,2,4,5,4,2,2,2,2,4,4,2,4,5,2
"499",4,4,4,4,4,5,4,4,1,2,4,3,3,4,5,4,5,3,4,3,3,5,4,3,3
"500",2,6,6,6,5,2,1,4,4,1,2,2,5,6,4,4,3,2,1,2,6,1,5,6,2
"501",4,3,1,3,3,6,4,4,2,2,3,4,3,4,5,5,5,6,6,6,5,5,4,6,3
"502",2,6,6,6,6,5,5,5,2,3,5,5,5,5,4,1,5,4,6,6,6,2,6,6,2
"503",3,6,4,6,5,5,5,5,2,4,5,2,4,5,5,1,1,2,2,5,4,4,5,4,4
"504",1,3,2,3,2,5,5,2,4,5,5,5,3,2,3,4,4,5,6,2,6,2,5,6,2
"505",1,6,6,4,6,5,5,6,1,2,5,2,4,5,3,4,3,5,4,6,5,1,3,5,6
"506",1,5,4,5,5,1,6,4,1,1,4,4,1,5,5,1,2,1,3,4,3,3,3,1,2
"507",2,5,5,6,5,6,5,4,2,2,1,1,6,6,6,2,2,2,2,1,6,2,6,4,2
"508",3,5,5,5,4,4,4,4,3,3,4,2,4,4,5,3,3,3,2,2,5,2,5,5,1
"509",2,5,4,5,5,4,4,4,3,3,4,3,3,4,5,3,4,2,3,3,5,2,5,5,2
"510",1,5,5,6,6,5,6,4,2,2,5,4,5,5,5,4,4,2,5,4,4,1,3,4,2
"511",4,6,6,6,6,4,3,1,3,2,1,4,4,6,5,3,6,6,2,1,5,4,3,5,1
"512",1,6,6,6,6,6,5,4,1,1,5,3,4,5,6,3,5,2,2,2,1,2,5,3,2
"513",1,4,5,5,5,4,2,4,2,4,4,2,2,5,3,2,2,2,2,1,5,1,5,6,2
"514",1,6,6,6,5,6,5,5,1,2,5,5,4,5,2,2,3,5,2,2,6,2,5,4,2
"515",2,4,4,5,2,5,5,1,1,6,3,4,3,2,1,2,2,4,6,4,2,2,6,5,1
"516",2,5,2,6,4,6,5,4,1,2,2,2,5,5,5,1,1,1,1,1,5,1,3,5,2
"517",1,5,6,6,5,4,2,4,1,1,2,2,5,6,5,1,2,1,1,2,4,4,6,4,1
"518",2,4,2,5,4,5,5,4,4,6,5,5,2,2,4,4,5,5,6,4,6,1,6,6,1
"519",4,4,4,6,2,2,4,4,3,4,5,4,2,4,4,2,3,4,5,3,4,2,5,5,4
"520",1,5,6,6,6,6,5,5,1,5,1,6,6,6,5,4,5,5,1,1,4,1,6,3,3
"521",5,6,6,6,6,5,5,4,1,1,5,1,5,6,3,1,1,3,1,1,5,1,6,4,4
"522",1,6,6,6,6,6,5,5,3,1,5,4,4,4,5,1,1,2,4,2,6,2,4,6,1
"523",1,5,5,6,6,5,3,4,2,3,3,5,4,5,4,4,5,3,2,5,4,2,5,6,2
